RA30;CODIGO_AVALIACAO;CODIGO_SEGMENTO_PISTA;ICP_PD;ACEITABILIDADE;OBSERVACAO;ICP_AV;MES;ANO;AVALIACAO_COMPLEMENTAR;DATA_AVALIACAO;TOTAL_PD_AV;CODIGO_ICP_CT;CODIGO_MR_PREVISTA;CODIGO_FUNCIONARIO_DIGITADOR;CODIGO_FUNCIONARIO_AVALIADOR;QTDE_DEF;DATA_DIG;ID_DIGITADOR;OBS1;ICP_SE;TOTAL_SE;PONTOS_SE;CODIGO_PARAM_CHECAGEM;CODIGO_TP_AVALIACAO;TOTAL_PD;
1;90452;111291;100;S;;85;6;2012;;19/06/12;;4;1;;26;3;;;;;;;1;1;0;
1;90487;111338;100;S;;65;6;2012;;21/06/12;;4;4;;26;6;;;;;;;1;1;25;
1;90499;111348;100;S;;75;6;2012;;21/06/12;;4;3;;14;4;;;;;;;1;1;0;
1;90521;111326;100;S;;75;6;2012;;21/06/12;;4;3;;14;3;;;;;;;1;1;0;
1;90536;111286;100;S;;80;6;2012;;22/06/12;;4;3;;14;3;;;;;;;1;1;0;
1;85835;108653;90;S;;85;1;2012;Nao;26/01/12;4;4;1;24;22;2;27/01/12;;;90;;;1;1;10;
1;85850;108654;90;S;;85;1;2012;Nao;26/01/12;4;4;1;24;22;2;27/01/12;;;90;;;1;1;10;
1;85831;108655;95;S;;90;1;2012;Nao;26/01/12;2;4;1;24;22;1;27/01/12;;;90;;;1;1;5;
1;85832;108658;78;S;;80;1;2012;Nao;26/01/12;10;4;1;24;22;5;27/01/12;;;85;;;2;1;22;
1;90449;11087;100;S;;60;6;2012;;14/06/12;;3;2;;14;4;;;;;;;1;1;18;
1;90448;14639;100;S;;60;6;2012;;14/06/12;;3;3;;14;4;;;;;;;1;1;18;
1;90453;111290;100;S;;80;6;2012;;19/06/12;;4;3;;14;2;;;;;;;1;1;0;
1;90467;111307;100;S;;85;6;2012;;19/06/12;;4;1;;26;2;;;;;;;1;1;6;
1;90468;111306;100;S;;75;6;2012;;19/06/12;;4;3;;26;3;;;;;;;1;1;0;
1;90494;111345;100;S;;;6;2012;;21/06/12;;4;4;;14;6;;;;;;;1;1;27,5;
1;90501;111350;100;S;;80;6;2012;;21/06/12;;4;3;;26;3;;;;;;;1;1;0;
1;90511;111318;100;S;;70;6;2012;;21/06/12;;4;4;;26;3;;;;;;;1;1;0;
1;90516;111288;100;S;;75;6;2012;;21/06/12;;4;3;;14;3;;;;;;;1;1;0;
1;90517;111322;100;S;;;6;2012;;21/06/12;;4;3;;26;3;;;;;;;1;1;0;
1;90518;111323;100;S;;70;6;2012;;21/06/12;;4;4;;14;3;;;;;;;1;1;0;
1;90525;111353;100;S;;75;6;2012;;22/06/12;;4;3;;14;3;;;;;;;1;1;0;
1;90531;13684;100;S;;80;6;2012;;22/06/12;;4;3;;14;3;;;;;;;1;1;8,5;
1;90537;111357;100;S;;80;6;2012;;22/06/12;;4;3;;14;2;;;;;;;1;1;0;
1;90541;111361;100;S;;80;6;2012;;22/06/12;;4;3;;14;3;;;;;;;1;1;0;
1;90544;111365;100;S;;65;6;2012;;22/06/12;;4;4;;14;5;;;;;;;1;1;0;
1;90549;111368;100;;;80;6;2012;;22/06/12;;4;3;;14;3;;;;;;;1;1;0;
1;90552;111277;100;S;;80;6;2012;;22/06/12;;4;3;;14;3;;;;;;;1;1;0;
1;90475;111301;100;S;;85;6;2012;;19/06/12;;4;1;;26;3;;;;;;;1;1;6;
1;90472;111304;100;S;;75;6;2012;;19/06/12;;4;3;;26;3;;;;;;;1;1;12;
1;90495;111346;100;S;;70;6;2012;;21/06/12;;4;4;;14;3;;;;;;;1;1;0;
1;90519;111324;100;S;;65;6;2012;;21/06/12;;4;4;;14;6;;;;;;;1;1;0;
1;90550;111369;100;S;;80;6;2012;;22/06/12;;4;3;;14;2;;;;;;;1;1;0;
1;90507;111314;100;S;;;6;2012;;21/06/12;;4;4;;26;4;;;;;;;1;1;0;
1;90514;111320;100;S;;70;6;2012;;21/06/12;;4;4;;14;4;;;;;;;1;1;0;
1;90504;111313;100;S;;75;6;2012;;21/06/12;;4;3;;26;3;;;;;;;1;1;0;
1;90509;111316;100;S;;75;6;2012;;21/06/12;;4;3;;26;3;;;;;;;1;1;19,5;
1;90512;111319;100;S;;70;6;2012;;21/06/12;;4;3;;26;4;;;;;;;1;1;0;
1;90527;111355;100;S;;75;6;2012;;22/06/12;;4;3;;14;3;;;;;;;1;1;0;
1;90532;14630;100;S;;70;6;2012;;22/06/12;;4;2;;14;5;;;;;;;1;1;0;
1;90543;111364;100;S;;90;6;2012;;22/06/12;;4;1;;14;2;;;;;;;1;1;0;
1;90551;111370;100;S;;80;6;2012;;22/06/12;;4;3;;14;3;;;;;;;1;1;0;
1;90524;111352;100;S;;75;6;2012;;22/06/12;;4;3;;14;4;;;;;;;1;1;0;
1;90535;111356;100;S;;85;6;2012;;22/06/12;;4;3;;14;3;;;;;;;1;1;0;
1;90539;111359;100;S;;75;6;2012;;22/06/12;;4;3;;14;3;;;;;;;1;1;0;
1;85849;107420;88;S;;90;1;2012;Nao;26/01/12;5;4;1;24;22;3;27/01/12;;;90;;;1;1;12;
1;85847;107421;90;S;;90;1;2012;Nao;26/01/12;4;4;1;24;22;2;27/01/12;;;90;;;1;1;10;
1;85848;107422;85;S;;75;1;2012;Nao;26/01/12;15;4;2;24;22;4;27/01/12;;;75;;;2;1;15;
1;80419;107787;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80430;107788;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80432;107804;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80434;107805;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80428;107806;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80429;107807;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;89139;107808;89;S;;85;3;2012;Nao;07/03/12;5;4;1;24;14;2;08/03/12;;;90;;;1;1;11;
1;80433;107809;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80425;107811;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80426;107812;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80427;107813;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80402;107814;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80408;107815;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80403;107816;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80404;107817;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80398;107819;88,5;S;;80;12;2011;Nao;15/12/11;5;4;1;24;20;2;16/12/11;;;85;;;1;1;11,5;
1;80399;107820;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
1;80400;107821;92,5;S;;85;12;2011;Nao;15/12/11;3;4;1;24;20;1;16/12/11;;;90;;;1;1;7,5;
