RA30;CODIGO_DEFEITO;FAIXA_ANALISADA;EXTENSAO;VERIFICAR;CODIGO_SEVERIDADE;CODIGO_TIPO_DEFEITO;PD_AVALIADOR;PD_PONDERADOS;CODIGO_AVALIACAO;FATOR_UTILIZADO;CODIGO_SEGMENTO_PISTA;
1;64820;0;35;N;1;1;2;4;19018;2;10051;
1;66061;0;938,05;N;2;13;4;10;19297;2,5;10052;
1;66060;0;1172,56;N;1;13;0;0;19297;2,5;10052;
1;66057;0;50;N;1;1;2;4;19297;2;10052;
1;66058;0;60;N;1;7;0;0;19297;2;10052;
1;66059;0;20;N;2;7;3;6;19297;2;10052;
1;66066;0;190,7;N;2;13;3;7,5;19298;2,5;10053;
1;66062;0;15;N;1;1;0;0;19298;2;10053;
1;66065;0;299,67;N;1;13;0;0;19298;2,5;10053;
1;66063;0;5;N;2;1;3;6;19298;2;10053;
1;66064;0;25;N;1;7;2;4;19298;2;10053;
1;66184;0;7;N;1;6;2;0;19331;0;10054;
1;66183;0;5;N;1;1;1;2;19331;2;10054;
1;66186;0;138,89;N;1;13;0;0;19331;2,5;10054;
1;66185;0;10;N;1;7;2;4;19331;2;10054;
1;66187;0;46,3;N;2;13;2;5;19331;2,5;10054;
1;66070;0;155,86;N;2;13;3;7,5;19299;2,5;10055;
1;66068;0;40;N;1;7;2;4;19299;2;10055;
1;66067;0;20;N;1;1;2;4;19299;2;10055;
1;66069;0;311,73;N;1;13;0;0;19299;2,5;10055;
1;71698;0;40;N;1;1;3;6;20605;2;10110;
1;71700;0;128,63;N;2;13;2;5;20605;2,5;10110;
1;71699;0;385,9;N;1;13;0;0;20605;2,5;10110;
1;71701;0;10;N;1;1;2;4;20606;2;10111;
1;71702;0;20;N;1;7;2;4;20606;2;10111;
1;71703;0;522,99;N;1;13;0;0;20606;2,5;10111;
1;71704;0;305,08;N;2;13;0;0;20606;2,5;10111;
1;71705;0;43,58;N;3;13;4;10;20606;2,5;10111;
1;71131;0;5;N;1;1;1;2;20479;2;10112;
1;71132;0;609,48;N;1;13;0;0;20479;2,5;10112;
1;71133;0;76,19;N;2;13;2;5;20479;2,5;10112;
1;71752;0;691,76;N;1;13;0;0;20618;2,5;10114;
1;71753;0;86,47;N;2;13;2;5;20618;2,5;10114;
1;71750;0;7;N;1;1;1;2;20618;2;10114;
1;71751;0;40;N;1;7;2;4;20618;2;10114;
1;71845;0;173,11;N;2;13;2;5;20647;2,5;10115;
1;71844;0;1384,85;N;1;13;0;0;20647;2,5;10115;
1;71843;0;7;N;1;7;1;2;20647;2;10115;
1;71842;0;20;N;1;1;1;2;20647;2;10115;
1;71836;0;97,49;N;2;13;2;5;20645;2,5;10116;
1;71833;0;17;N;1;1;1;2;20645;2;10116;
1;71835;0;341,2;N;1;13;0;0;20645;2,5;10116;
1;71834;0;15;N;1;7;1;2;20645;2;10116;
1;77161;0;5,16;N;3;13;3;7,5;22030;2,5;10121;
1;77159;0;82,54;N;1;13;0;0;22030;2,5;10121;
1;77157;0;10;N;1;1;1;2;22030;2;10121;
1;77158;0;10;N;1;7;1;2;22030;2;10121;
1;77160;0;10,32;N;2;13;0;0;22030;2,5;10121;
1;60629;0;21,12;N;2;13;2;5;17991;2,5;10124;
1;60627;0;3;N;2;7;1;2;17991;2;10124;
1;60626;0;7;N;1;1;1;2;17991;2;10124;
1;60628;0;73,91;N;1;13;0;0;17991;2,5;10124;
1;78717;0;138,03;N;2;13;0;0;22336;2,5;10000;
1;78716;0;690,14;N;1;13;0;0;22336;2,5;10000;
1;78718;0;207,04;N;3;13;5;12,5;22336;2,5;10000;
1;69302;0;1;N;3;1;4;8;20049;2;10039;
1;69303;0;241,34;N;1;13;0;0;20049;2,5;10039;
1;69304;0;100,56;N;2;13;2;5;20049;2,5;10039;
1;69305;0;12;N;1;15;2;2;20049;1;10039;
1;69300;0;20;N;1;1;0;0;20049;2;10039;
1;69301;0;2;N;2;1;0;0;20049;2;10039;
1;70804;0;17;N;1;7;1;2;20399;2;10040;
1;70806;0;105,74;N;2;13;2;5;20399;2,5;10040;
1;70805;0;370,1;N;1;13;0;0;20399;2,5;10040;
1;70803;0;25;N;1;1;1;2;20399;2;10040;
1;70370;0;35,09;N;2;13;0;0;20292;2,5;10041;
1;70369;0;245,6;N;1;13;0;0;20292;2,5;10041;
1;70368;0;50;N;1;1;2;4;20292;2;10041;
1;70371;0;35,09;N;3;13;3;7,5;20292;2,5;10041;
1;70802;0;81,28;N;2;13;2;5;20398;2,5;10042;
1;70798;0;20;N;1;1;0;0;20398;2;10042;
1;70799;0;7;N;2;1;1;2;20398;2;10042;
1;70801;0;284,47;N;1;13;0;0;20398;2,5;10042;
1;70800;0;10;N;1;7;1;2;20398;2;10042;
1;68779;0;101,46;N;2;13;2;5;19933;2,5;10044;
1;68777;0;17;N;1;1;1;2;19933;2;10044;
1;68778;0;355,12;N;1;13;0;0;19933;2,5;10044;
1;68743;0;73,82;N;2;13;2;5;19925;2,5;10045;
