RA30;CODIGO_INVENTARIO;CODIGO_SEGMENTO_PISTA;CODIGO_PAVIMENTO;CODIGO_VOLUME;CODIGO_ROTA;DATA_ANALISE;NOME_RUA;COMPRIMENTO;LARGURA_PISTA;IDADE;ANO_ULTIMA_MR;CODIGO_MR;CODIGO_POCOVISITA;CODIGO_INTERFERENCIA;CODIGO_CALCADA;CODIGO_DRENAGEM;CODIGO_SUBLEITO;CODIGO_ESTRUTURA;CODIGO_SENTIDO;CODIGO_GRID;DA_RUA;ATE_RUA;NUMERO_FAIXAS;RAIZ;BOCA_LOBO;CODIGO_CONDICAO_DRENAGEM;CODIGO_ESTACIONAMENTO;CODIGO_MEIOFIO;CODIGO_CONDICAO_MEIOFIO;CODIGO_CONDICAO_CALCADA;CODIGO_HIERARQUIA;VELOCIDADE_VIA;VEICULOS_PESADOS;
1;41098;106392;1;3;;28/06/11;;;7,5;;;;;;2;1;3;;1;;;;2;N;N;3;2;2;;;4;40;3;
1;41099;106393;1;3;;28/06/11;;;10;;;;;;2;1;3;;1;;;;3;N;S;3;2;1;3;;4;40;2;
1;44886;106560;1;5;;08/08/11;;;5;;;;;;3;1;3;;1;;;;1;N;N;3;2;1;3;3;5;30;1;
1;44884;106563;1;5;;08/08/11;;;5;;;;;;3;1;3;;1;;;;2;N;N;3;1;1;3;2;5;30;1;
1;44885;106565;1;5;;08/08/11;;;7,5;;;;;;1;1;3;;2;;;;2;N;N;3;2;1;3;3;5;30;1;
1;44888;106574;1;1;;08/08/11;;;24;;;;;;2;1;3;;1;;;;6;N;S;3;2;1;3;;3;60;10;
1;44893;106575;1;5;;08/08/11;;;7,5;;;;;;2;2;2;;2;;;;2;N;N;;2;1;3;;5;30;1;
1;44898;106579;1;4;;08/08/11;;;14;;;;;;2;1;3;;2;;;;2;N;S;3;2;1;3;;4;40;7;
1;44905;106580;1;5;;08/08/11;;;7,5;;;;;;1;1;3;;1;;;;2;N;S;3;2;1;3;3;5;30;5;
1;44901;106582;1;4;;08/08/11;;;14;;;;;;2;1;3;;2;;;;2;N;N;3;2;1;3;;4;40;7;
1;44900;106583;1;5;;08/08/11;;;7,5;;;;;;3;1;3;;2;;;;2;N;S;3;2;1;3;3;5;30;5;
1;44899;106584;1;4;;08/08/11;;;14;;;;;;2;1;3;;2;;;;2;N;S;3;2;1;3;;4;40;7;
1;44897;106586;1;5;;08/08/11;;;7,5;;;;;;2;1;3;;1;;;;2;N;S;3;2;1;3;;5;30;5;
1;44896;106587;1;5;;08/08/11;;;7,5;;;;;;3;1;3;;1;;;;2;N;S;3;2;1;3;3;5;30;5;
1;45852;106613;1;4;;10/08/11;;;7,5;;;;;;2;1;3;;1;;;;2;N;N;3;2;1;3;;4;40;7;
1;44882;106614;1;4;;08/08/11;;;14;;;;;;2;1;3;;2;;;;2;N;S;3;2;1;3;;4;40;7;
1;45853;106615;1;2;;10/08/11;;;7,5;;;;;;2;1;3;;1;;;;2;N;N;3;2;1;3;;3;60;10;
1;90696;14639;1;5;;14/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;2;2;2;;;5;20;0;
1;90697;11087;1;5;;14/06/12;;;6;;;;;;2;1;3;;1;;;;2;S;S;2;2;3;3;;5;20;0;
1;90699;111291;1;5;;19/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90700;111290;1;5;;19/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90708;111311;1;5;;19/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;2;2;2;;;5;20;0;
1;90712;111307;1;5;;19/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90713;111306;1;5;;19/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90716;111282;1;5;;19/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
1;90717;111304;1;5;;19/06/12;;;6;;;;;;2;1;3;;1;;;;2;;;3;2;2;;;5;20;0;
